aX,aY,aZ,gX,gY,gZ
0.520,-0.522,-0.876,-2.930,5.737,1.831
0.517,-0.457,-0.794,1.526,2.686,7.263
0.510,-0.433,-0.763,0.671,2.441,7.080
0.508,-0.433,-0.766,-2.869,3.235,5.066
0.501,-0.436,-0.789,-6.592,4.272,2.808
0.491,-0.472,-0.791,-9.766,4.211,0.000
0.478,-0.481,-0.775,-12.146,3.113,-1.404
0.480,-0.534,-0.758,-12.146,2.197,-2.197
0.484,-0.582,-0.746,-8.911,2.563,-1.831
0.497,-0.566,-0.753,-3.479,3.174,2.075
0.501,-0.546,-0.786,2.136,4.456,6.592
0.505,-0.523,-0.784,6.226,4.028,10.315
0.491,-0.514,-0.748,4.578,3.174,12.329
0.464,-0.461,-0.725,-2.319,2.686,12.817
0.443,-0.430,-0.675,-12.512,2.686,10.925
0.439,-0.380,-0.663,-22.949,4.944,8.240
0.448,-0.320,-0.754,-32.471,9.705,4.883
0.479,-0.294,-0.797,-35.889,9.155,0.732
0.509,-0.303,-0.814,-26.855,6.470,-0.916
0.504,-0.318,-0.779,-7.690,5.127,1.343
0.474,-0.318,-0.682,9.766,3.174,4.150
0.436,-0.390,-0.608,14.404,3.662,1.892
0.412,-0.520,-0.586,7.812,6.104,-3.357
0.405,-0.627,-0.639,-2.686,10.620,-6.287
0.417,-0.625,-0.776,-9.644,15.442,-4.456
0.425,-0.594,-0.853,-13.428,16.357,-1.709
0.428,-0.537,-0.872,-15.381,13.794,0.549
0.438,-0.498,-0.892,-17.090,11.658,1.465
0.449,-0.489,-0.905,-16.113,9.949,2.014
0.461,-0.500,-0.917,-10.986,7.996,4.028
0.444,-0.461,-0.889,-1.587,5.432,8.240
0.424,-0.412,-0.847,7.874,3.601,11.963
0.416,-0.371,-0.808,13.794,2.808,12.390
0.408,-0.382,-0.800,13.611,3.540,9.277
0.420,-0.423,-0.776,8.423,3.784,5.310
0.442,-0.453,-0.798,2.991,4.883,2.747
0.448,-0.430,-0.846,-1.282,6.226,2.441
0.461,-0.410,-0.845,-4.089,4.700,1.648
0.460,-0.406,-0.852,-6.226,2.808,0.366
0.447,-0.404,-0.811,-4.822,0.427,-0.366
0.439,-0.387,-0.777,-1.526,-0.916,0.000
0.434,-0.428,-0.775,-0.183,0.305,-1.282
0.440,-0.473,-0.789,0.610,1.221,-2.136
0.445,-0.501,-0.788,2.686,1.465,-1.709
0.448,-0.492,-0.804,4.089,2.380,0.488
0.441,-0.476,-0.811,4.211,3.784,2.014
0.449,-0.478,-0.813,2.747,3.784,2.136
0.440,-0.506,-0.848,0.488,4.395,1.465
0.451,-0.488,-0.863,-1.160,3.601,2.197
0.447,-0.479,-0.850,-1.099,1.526,2.747
0.442,-0.456,-0.834,-1.099,0.427,3.174
0.436,-0.437,-0.812,-0.427,-0.366,3.052
0.439,-0.478,-0.773,0.122,-1.526,1.099
0.443,-0.524,-0.771,0.305,-1.465,0.122
0.451,-0.544,-0.770,-0.183,-0.793,1.221
0.448,-0.516,-0.766,-0.916,-0.427,3.296
0.448,-0.487,-0.767,-2.563,0.122,4.639
0.447,-0.488,-0.773,-5.432,0.671,4.150
0.444,-0.479,-0.800,-5.859,1.770,4.272
0.445,-0.474,-0.819,-4.395,1.343,5.493
0.435,-0.475,-0.804,-1.648,-0.671,6.653
