aX,aY,aZ,gX,gY,gZ
-1.753,1.659,-0.325,142.639,-92.102,-338.440
-1.768,1.209,-0.075,156.372,-91.431,-370.850
-1.763,0.360,-0.082,126.892,-85.754,-411.438
-1.727,-0.692,-0.138,73.120,-89.905,-439.758
-1.677,-1.785,-0.362,41.748,-101.563,-448.364
-1.578,-3.254,-0.468,41.748,-129.517,-443.665
-1.410,-4.000,0.317,39.795,-180.298,-403.442
-1.126,-4.000,2.093,52.124,-228.821,-323.547
-0.835,-4.000,3.378,78.918,-216.187,-242.798
-0.692,-4.000,3.489,115.723,-142.212,-170.288
-0.470,-3.309,2.825,144.531,-63.538,-122.498
-0.491,-2.484,1.805,158.142,-10.986,-110.107
-0.425,-2.183,1.010,120.361,7.446,-120.605
-0.334,-2.397,0.981,66.284,-15.137,-135.559
-0.272,-2.570,1.102,28.503,-33.325,-132.263
-0.227,-2.406,1.369,19.470,-41.809,-108.582
-0.187,-2.104,1.446,46.814,-35.034,-81.116
-0.179,-1.951,1.335,88.867,-18.799,-63.110
-0.159,-1.820,1.189,124.756,-4.761,-47.241
-0.153,-1.700,1.158,138.916,3.418,-34.485
-0.166,-1.379,1.053,134.705,12.268,-25.818
-0.185,-1.190,0.750,96.558,21.240,-27.405
-0.188,-1.172,0.606,36.682,17.700,-37.659
-0.170,-1.236,0.705,-3.235,6.714,-46.204
-0.141,-1.371,0.718,-11.780,4.517,-48.889
-0.128,-1.416,0.684,-3.662,6.836,-42.358
-0.114,-1.325,0.704,5.798,7.202,-29.663
-0.120,-1.162,0.673,9.338,9.033,-16.724
-0.137,-0.999,0.607,10.559,11.047,-7.446
-0.145,-0.950,0.561,11.963,10.254,-3.723
-0.149,-0.945,0.591,12.146,7.080,-2.075
-0.152,-0.922,0.666,13.062,4.456,0.793
-0.166,-0.859,0.690,16.357,5.249,4.578
-0.183,-0.753,0.644,19.592,8.057,6.592
-0.196,-0.662,0.553,18.555,8.606,5.798
-0.194,-0.654,0.496,5.859,5.432,1.465
-0.195,-0.717,0.545,-11.658,-1.587,-3.479
-0.188,-0.759,0.621,-23.987,-6.714,-5.676
-0.191,-0.826,0.665,-27.283,-7.812,-5.920
-0.192,-0.778,0.740,-20.020,-7.629,-2.625
-0.200,-0.747,0.727,-10.986,-3.906,0.488
-0.208,-0.706,0.699,-1.770,-0.610,2.686
-0.213,-0.612,0.669,2.808,0.977,5.005
-0.214,-0.594,0.658,2.625,1.038,3.906
-0.211,-0.596,0.690,-0.122,0.244,1.587
-0.206,-0.621,0.727,-0.610,-0.244,-0.183
-0.205,-0.643,0.697,-0.549,1.892,-1.038
-0.206,-0.643,0.678,1.648,2.808,-0.427
-0.210,-0.657,0.688,4.883,2.319,-0.122
-0.207,-0.663,0.715,7.568,1.709,0.549
-0.208,-0.688,0.708,11.108,2.686,0.671
-0.210,-0.729,0.694,13.062,3.357,1.038
-0.208,-0.737,0.753,12.085,2.075,2.563
-0.209,-0.762,0.766,11.963,3.113,3.540
-0.213,-0.714,0.717,11.475,5.310,4.822
-0.210,-0.698,0.692,7.385,5.493,4.761
-0.202,-0.705,0.705,3.723,4.211,3.235
-0.198,-0.687,0.661,1.038,4.395,2.563
-0.196,-0.678,0.657,-1.831,3.418,1.648
-0.192,-0.692,0.682,-4.272,1.709,0.305
-0.188,-0.686,0.697,-4.272,1.099,0.183
-0.186,-0.697,0.675,-1.221,1.953,-0.366
-0.187,-0.682,0.642,1.221,2.258,-0.488
-0.192,-0.674,0.652,2.808,0.916,-0.854
-0.199,-0.665,0.647,2.380,-0.305,-1.404
-0.202,-0.659,0.656,0.061,-1.526,-1.953
-0.206,-0.630,0.663,-1.526,-2.502,-2.869
-0.211,-0.577,0.644,-4.028,-2.930,-4.578
-0.216,-0.530,0.602,-10.437,-3.479,-8.301
-0.202,-0.599,0.592,-17.883,-5.920,-14.343
-0.194,-0.737,0.647,-25.330,-9.399,-18.921
-0.181,-0.821,0.724,-26.733,-10.925,-16.418
-0.182,-0.871,0.754,-20.996,-7.751,-10.681
-0.188,-0.842,0.755,-10.437,-3.540,-3.479
-0.204,-0.772,0.717,-0.488,0.244,2.686
-0.220,-0.694,0.662,5.066,2.869,6.653
-0.221,-0.646,0.676,4.517,2.075,7.324
-0.222,-0.628,0.726,2.808,0.671,6.165
-0.222,-0.624,0.719,0.977,1.770,4.089
-0.218,-0.642,0.725,-2.747,2.625,2.014
-0.210,-0.675,0.737,-3.906,2.808,0.122
-0.204,-0.677,0.694,-1.648,5.188,0.366
-0.200,-0.684,0.677,0.977,5.920,0.916
-0.196,-0.681,0.662,3.906,6.104,1.526
-0.197,-0.671,0.665,6.775,5.737,2.686
-0.202,-0.646,0.662,9.766,5.493,3.540
-0.205,-0.633,0.651,10.620,5.493,3.357
-0.211,-0.628,0.654,9.644,4.639,2.319
-0.209,-0.644,0.649,7.202,3.601,1.221
-0.209,-0.693,0.655,1.343,2.197,-0.244
-0.207,-0.708,0.695,-3.052,0.427,0.122
-0.207,-0.707,0.677,-3.357,0.977,0.793
-0.212,-0.708,0.673,-1.343,1.221,1.038
-0.215,-0.697,0.705,-0.854,0.427,1.587
-0.215,-0.683,0.721,-0.183,0.793,1.953
