aX,aY,aZ,gX,gY,gZ
0.118,-1.281,-1.093,30.334,36.926,-76.843
0.073,-1.272,-1.001,27.893,29.236,-73.181
0.082,-1.256,-1.038,28.076,27.222,-67.993
0.051,-1.291,-1.100,29.846,24.963,-65.247
0.023,-1.194,-1.023,31.372,15.137,-58.167
0.028,-1.277,-1.076,28.259,12.085,-55.054
0.078,-1.421,-1.038,15.503,4.639,-49.988
0.090,-1.496,-0.937,2.075,-5.554,-37.354
0.097,-1.413,-0.946,-2.991,-8.484,-21.118
0.088,-1.256,-0.861,-4.822,-12.451,-6.836
0.064,-1.080,-0.777,-5.920,-15.503,2.563
0.091,-0.939,-0.804,-4.272,-12.817,7.935
0.028,-0.738,-0.832,2.258,-8.240,11.169
0.036,-0.589,-0.859,11.963,-6.165,7.874
0.061,-0.612,-0.879,20.752,-4.578,-3.601
0.084,-0.745,-0.778,26.367,-7.324,-14.282
0.129,-0.883,-0.813,27.283,-7.751,-17.822
0.168,-1.000,-0.855,17.700,-11.230,-16.113
0.168,-1.073,-0.857,2.441,-19.836,-8.362
0.167,-1.058,-0.860,-9.399,-27.344,2.075
0.152,-0.937,-0.764,-17.944,-39.124,13.550
0.140,-0.820,-0.660,-20.447,-45.715,20.264
0.168,-0.771,-0.673,-16.235,-36.865,21.240
0.172,-0.755,-0.687,-10.132,-29.785,19.470
0.170,-0.717,-0.666,1.587,-25.269,18.066
0.184,-0.725,-0.706,16.602,-18.799,14.832
0.188,-0.739,-0.685,29.297,-14.465,11.230
0.204,-0.743,-0.673,40.894,-10.803,8.850
0.205,-0.762,-0.732,50.537,-5.188,6.653
0.175,-0.774,-0.688,49.927,-5.249,7.507
0.196,-0.758,-0.650,35.828,-10.376,11.292
0.214,-0.793,-0.747,20.630,-10.925,13.672
0.214,-0.868,-0.898,16.907,-8.789,15.076
0.183,-0.828,-0.972,27.222,-13.916,22.339
0.135,-0.668,-0.864,37.292,-27.344,32.104
0.089,-0.539,-0.662,43.396,-36.621,34.058
0.070,-0.478,-0.561,49.072,-28.748,27.527
0.077,-0.460,-0.597,55.359,-10.437,17.090
0.090,-0.446,-0.701,59.631,7.507,6.775
0.127,-0.463,-0.832,58.716,18.494,-1.282
0.132,-0.517,-0.905,50.049,16.052,-7.019
0.132,-0.587,-0.862,39.368,3.906,-9.888
0.141,-0.636,-0.808,29.724,-3.601,-9.521
0.157,-0.671,-0.769,24.658,-6.775,-7.751
0.166,-0.665,-0.783,25.818,-6.042,-3.906
0.160,-0.646,-0.820,34.302,-6.104,0.488
0.118,-0.676,-0.823,45.776,-10.620,5.249
0.205,-0.635,-0.669,21.057,-18.799,7.507
0.093,-0.523,-0.864,40.405,-11.230,11.230
0.121,-0.370,-0.868,70.618,-9.583,14.587
0.126,-0.409,-0.737,55.115,-13.733,8.484
0.095,-0.476,-0.620,40.833,-13.489,0.366
0.123,-0.437,-0.683,45.776,-5.798,-0.061
0.145,-0.399,-0.825,39.917,4.761,-2.075
0.131,-0.520,-0.901,28.442,6.226,-10.742
0.170,-0.535,-0.971,23.987,2.075,-10.864
0.156,-0.480,-1.032,21.545,-2.930,-5.432
0.149,-0.454,-0.971,15.381,-12.024,-4.089
0.160,-0.466,-0.883,7.996,-17.090,-5.432
0.164,-0.509,-0.849,3.601,-14.709,-9.155
0.182,-0.565,-0.848,3.113,-10.315,-12.451
0.191,-0.585,-0.839,6.714,-7.690,-12.146
0.177,-0.555,-0.825,11.963,-6.165,-9.277
0.192,-0.543,-0.840,11.902,-2.869,-7.996
0.217,-0.533,-0.913,9.705,1.160,-9.216
0.198,-0.612,-0.902,10.315,-1.953,-12.878
0.210,-0.650,-0.877,10.498,-4.089,-12.512
0.216,-0.639,-0.938,18.311,-2.197,-7.996
0.205,-0.624,-0.985,22.156,-4.150,-4.150
0.194,-0.611,-0.972,13.733,-9.155,-1.770
0.189,-0.602,-0.965,6.470,-11.414,0.183
0.189,-0.622,-0.971,1.526,-12.268,1.343
0.189,-0.625,-0.948,-5.188,-15.442,3.235
0.210,-0.628,-0.932,-11.169,-18.005,5.981
0.201,-0.653,-0.922,-11.780,-17.944,8.423
0.203,-0.693,-0.894,7.141,-23.071,11.719
0.224,-0.655,-0.889,25.330,-26.794,19.653
0.234,-0.608,-0.914,22.888,-22.400,26.306
