aX,aY,aZ,gX,gY,gZ
-0.015,0.568,0.824,10.742,0.000,14.893
-0.035,0.567,0.822,7.507,-0.061,11.047
-0.032,0.525,0.818,7.751,-0.671,6.714
-0.036,0.499,0.846,8.911,-2.136,3.052
-0.033,0.470,0.890,8.972,-3.235,-0.244
-0.035,0.430,0.918,8.362,-3.662,-2.686
-0.041,0.375,0.942,7.568,-3.418,-4.456
-0.037,0.334,0.966,5.920,-2.869,-5.493
-0.036,0.336,0.980,6.775,-1.709,-5.066
-0.033,0.329,1.000,8.118,-0.305,-5.310
-0.021,0.314,1.035,10.498,1.099,-5.737
-0.017,0.324,1.050,13.733,3.052,-5.676
-0.012,0.335,1.046,16.663,5.737,-4.944
-0.012,0.319,1.035,16.907,7.751,-5.249
-0.011,0.304,1.029,16.113,8.911,-4.944
0.001,0.289,1.035,16.235,9.033,-4.089
0.005,0.266,1.052,15.747,9.277,-3.662
0.010,0.244,1.050,15.808,10.864,-3.052
0.015,0.242,1.036,17.517,12.451,-2.197
0.013,0.230,1.026,19.409,12.878,-1.221
0.013,0.224,1.027,17.700,12.756,0.244
0.021,0.228,1.065,16.113,11.414,1.892
0.033,0.237,1.117,15.808,10.681,3.784
0.036,0.234,1.106,17.029,13.672,5.676
0.033,0.231,1.041,20.996,18.005,7.812
0.042,0.242,0.982,23.621,20.081,10.132
0.033,0.282,0.915,24.902,20.325,13.000
0.042,0.319,0.864,24.902,19.592,15.137
0.047,0.334,0.853,22.583,17.700,16.052
0.051,0.352,0.874,18.188,15.076,16.479
0.058,0.356,0.917,16.235,12.573,15.991
0.068,0.382,0.943,18.066,12.207,15.259
0.066,0.386,0.942,22.644,13.550,14.099
0.054,0.355,0.935,23.132,14.709,11.169
0.049,0.300,0.943,22.156,15.381,8.423
0.048,0.266,0.953,21.484,15.686,7.690
0.036,0.253,0.971,20.142,16.296,8.423
0.032,0.236,1.015,16.846,16.541,8.667
0.033,0.241,1.082,14.648,16.357,8.606
0.018,0.208,1.113,17.883,18.372,7.629
0.007,0.167,1.123,18.127,20.752,6.470
0.012,0.125,1.150,17.700,21.606,6.042
0.019,0.083,1.178,17.029,22.278,6.104
0.028,0.045,1.201,13.184,24.719,6.958
0.025,0.003,1.200,12.024,28.381,9.827
0.036,-0.017,1.197,10.071,32.715,14.343
0.047,-0.002,1.198,10.376,36.438,20.325
0.034,0.011,1.169,14.832,39.795,26.306
0.041,0.140,1.170,13.672,42.114,32.227
0.054,0.214,1.167,12.207,43.640,31.616
0.079,0.237,1.169,17.761,45.227,27.466
0.077,0.190,1.125,26.855,47.607,22.766
0.065,0.147,1.065,28.137,51.086,20.203
0.067,0.121,1.011,24.658,53.711,20.081
0.074,0.113,1.003,25.146,54.382,20.996
0.089,0.113,1.001,21.484,55.420,22.766
