aX,aY,aZ,gX,gY,gZ
0.454,-0.665,0.358,-88.318,2.808,-39.307
0.515,-0.522,0.536,-90.393,2.625,-33.936
0.552,-0.460,0.659,-78.613,8.484,-35.706
0.547,-0.413,0.760,-66.956,17.639,-42.114
0.471,-0.309,0.756,-61.035,29.236,-48.889
0.368,-0.332,0.620,-60.425,43.579,-57.617
0.278,-0.356,0.365,-75.317,54.688,-61.462
0.215,-0.410,0.151,-101.685,58.044,-59.021
0.202,-0.518,0.022,-124.634,54.932,-58.289
0.252,-0.636,0.021,-136.902,47.424,-60.486
0.323,-0.720,0.161,-137.329,40.222,-65.735
0.377,-0.584,0.359,-132.324,37.231,-75.623
0.337,-0.397,0.459,-118.408,38.696,-101.135
0.321,-0.345,0.580,-94.055,39.124,-137.451
0.229,-0.311,0.569,-64.148,45.044,-162.170
0.126,-0.359,0.358,-47.180,54.932,-178.833
0.099,-0.569,0.125,-64.819,61.279,-190.674
0.149,-0.895,0.003,-101.929,57.983,-195.312
0.196,-1.162,-0.020,-126.160,48.523,-191.284
0.226,-1.325,-0.011,-128.479,38.574,-186.462
0.250,-1.442,0.011,-109.924,29.541,-186.890
0.255,-1.480,0.067,-83.069,20.630,-187.805
0.225,-1.525,0.104,-57.068,15.808,-184.021
0.193,-1.513,0.116,-48.035,15.747,-170.715
0.144,-1.383,0.101,-61.401,17.517,-147.888
0.135,-1.286,0.006,-86.487,18.494,-123.535
0.205,-1.183,0.025,-125.854,16.541,-101.318
0.404,-1.065,0.160,-159.546,13.672,-87.891
0.337,-0.968,0.215,-159.607,11.719,-90.210
0.381,-0.978,0.391,-148.132,9.460,-105.652
0.460,-1.158,0.273,-146.790,21.606,-116.455
0.659,-1.041,0.597,-143.250,30.945,-100.342
0.196,-0.918,0.497,-85.938,61.096,-99.487
0.021,-0.918,0.203,-78.247,79.285,-116.394
0.064,-1.080,0.248,-94.910,52.734,-144.043
0.223,-1.123,0.420,-94.543,5.310,-164.673
0.236,-1.234,0.739,-76.050,-13.489,-175.476
0.270,-1.476,0.716,-30.762,9.644,-187.927
0.279,-1.528,0.546,2.136,42.175,-186.157
0.210,-1.504,0.437,20.569,59.631,-178.040
0.108,-1.570,0.390,30.823,72.388,-177.673
0.007,-1.740,0.188,45.837,91.736,-181.885
-0.053,-1.784,-0.050,46.143,95.215,-161.072
-0.096,-1.729,-0.209,22.949,86.182,-130.920
0.164,-2.803,0.490,-82.397,-46.570,-52.734
0.059,-2.923,0.488,-74.463,-41.809,-38.818
-0.010,-3.144,0.430,-58.472,-38.269,-24.170
-0.133,-3.336,0.459,-43.152,-39.307,-4.150
-0.257,-3.503,0.604,-38.940,-42.542,27.039
-0.290,-3.661,0.865,-38.330,-42.664,69.885
-0.277,-3.641,1.197,-37.415,-35.278,122.375
-0.295,-3.509,1.519,-30.518,-17.334,173.157
-0.402,-3.176,1.692,-12.512,9.216,210.632
-0.648,-2.953,1.670,36.926,39.612,227.478
-0.927,-2.815,1.472,85.938,65.491,232.788
-1.111,-2.649,1.215,110.962,79.895,233.826
-1.245,-2.604,1.007,131.836,81.665,226.868
-1.368,-2.601,0.825,155.151,75.073,221.313
-1.438,-2.530,0.733,169.556,63.416,225.220
-1.475,-2.474,0.728,178.467,47.852,234.314
-1.489,-2.407,0.784,180.176,31.250,246.887
-1.439,-2.314,0.997,169.983,14.160,264.404
-1.401,-2.141,1.301,155.029,-0.305,287.048
-1.401,-1.908,1.564,139.648,-6.226,310.303
-1.376,-1.634,1.770,130.493,-6.287,330.933
-1.351,-1.316,1.891,138.367,-3.601,348.877
-1.369,-1.140,1.945,163.086,2.258,359.009
-1.370,-0.959,1.923,187.622,13.733,365.601
-1.358,-0.786,1.975,215.759,21.667,370.728
-1.405,-0.597,2.067,253.601,26.367,372.498
-1.449,-0.350,2.146,296.082,30.701,374.878
-1.459,-0.027,2.391,326.904,30.396,380.554
-1.471,0.601,2.651,324.890,34.729,383.423
-1.472,1.385,2.482,315.308,49.866,368.591
-1.501,2.095,1.992,312.927,58.594,321.167
-1.422,2.414,1.593,286.438,49.316,247.498
-1.160,1.963,1.490,215.759,27.100,167.480
-0.852,1.106,1.528,139.832,5.615,112.000
-0.633,0.543,1.526,101.807,-7.019,92.163
-0.459,0.430,1.389,110.779,-13.672,95.276
-0.300,0.690,1.287,127.258,-23.682,107.971
-0.099,1.042,1.343,125.671,-38.513,119.019
0.038,1.418,1.496,120.544,-47.180,123.474
0.099,1.768,1.601,117.188,-41.748,121.948
